Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1893-09-20,Lance No. 11,Plymouth,PA,6,Coal,Explosion,UG,Coal
1893-09-27,Mansfield,Crystal Falls,MI,28,Iron,Inrush of water,UG,Metal
1894-02-12,Gaylord,Plymouth,PA,13,Coal,Roof fall,UG,Coal
1894-07-16,West Slope No. 1,Stockton,PA,8,Coal,Dynamite explosion,UG,Coal
1894-08-23,Franklin,Franklin,WA,37,Coal,Fire,UG,Coal
1894-10-07,Luke Fidler,Shamokin,PA,5,Coal,Fire,UG,Coal
1894-10-10,Henry Clay,Shamokin,PA,6,Coal,Boiler explosion,UG,Coal
1894-11-19,Blanche,Standard,WA,8,Coal,Explosion,UG,Coal
1895-01-22,Tate,Sturgis,KY,5,Coal,Powder explosion,UG,Coal
1895-02-18,West Bear Ridge,Mahanoy Plane,PA,5,Coal,Explosion,UG,Coal
1895-02-27,White Ash,Cerrillos,NM,24,Coal,Explosion,UG,Coal
1895-03-10,Old Abe,White Oaks,NM,8,Gold,Fire,UG,Metal
1895-03-20,Red Canyon,Red Canyon,WY,62,Coal,Explosion,UG,Coal
1895-04-07,Blue Canyon,Lake Whatcom,WA,23,Coal,Explosion,UG,Coal
1895-08-28,Sleepy Hollow,Sleepy Hollow,CO,12,Gold,Mine flooded,UG,Metal
1895-09-06,Osceolo,Calumet,MI,30,Copper,Fire on 27th level,UG,Metal
1895-09-25,Belgian,Leadville,CO,6,Gold,Dynamite explosion,UG,Metal
1895-10-06,Dorrance,Wilkes-Barre,PA,7,Coal,Explosion,UG,Coal
1895-12-19,Cumnock,Cumnock,NC,39,Coal,Explosion,UG,Coal
1895-12-20,Nelson,Dayton,TN,28,Coal,Explosion,UG,Coal
1896-01-04,Anna Lee,El Paso County,CO,8,Gold,Cave-in of shaft,UG,Metal
1896-02-18,Vulcan,New Castle,CO,49,Coal,Explosion,UG,Coal
1896-03-23,Berwind,Dubois,PA,13,Coal,Explosion,UG,Coal
1896-04-07,Hope,Basin,MT,7,Gold,Fire,UG,Metal
1896-04-10,St. Lawrence,Butte,MT,6,Copper,Powder explosion,UG,Metal
1896-06-27,Twin Shaft,Pittston,PA,58,Coal,Roof fall,UG,Coal
1896-10-29,Shaft No. 3,South Wilkes-Barre,PA,6,Coal,Explosion,UG,Coal
1896-12-26,Oswald,Princeton,IN,7,Coal,Explosion,UG,Coal
1897-01-04,No. 1,Alderson,OK,5,Coal,Explosion,UG,Coal
1897-01-13,Wadesville,Wadesville,PA,5,Coal,Crosshead fell/shaft,UG,Coal
1897-03-04,Kansas & Texas No. 44,Huntington,AR,14,Coal,Explosion,UG,Coal
1897-06-23,Gould & Curry,Virginia City,NV,11,"Gold, Silver",Fire in shaft,UG,Metal
1897-09-02,Sunshine,Sunshine,CO,12,Coal,Explosion,UG,Coal
1897-09-19,Belle Ellen,Belle Ellen,AL,5,Coal,Fire,UG,Coal
1897-09-27,Jermyn No. 1,Rendham,PA,5,Coal,Fire,UG,Coal
1897-10-29,Von Storch,Scranton,PA,6,Coal,Fire,UG,Coal
1898-03-19,No. 2 Slope,Unknown,AL,6,Coal,Explosion,UG,Coal
1898-05-25,Kaska Williams,Middleport,PA,6,Coal,Inrush of water,UG,Coal
1898-09-22,Umpire,Brownsville,PA,8,Coal,Explosion,UG,Coal
1898-09-30,Midvale,Wilkes-Barre,PA,5,Coal,Fire,UG,Coal
1898-11-05,Exeter,West Pittston,PA,9,Coal,Cage accident,UG,Coal
1899-02-21,Blocton No. 2,Blocton,AL,5,Coal,Explosion,UG,Coal
1899-04-20,Cook & White,Madrid,NM,5,Coal,Explosion,UG,Coal
1899-05-22,Cumnock,Cumnock,NC,23,Coal,Explosion,UG,Coal
1899-07-23,Grindstone,Grindstone,PA,5,Coal,Explosion,UG,Coal
1899-12-09,Carbon Hill No. 7,Carbonado,WA,31,Coal,Explosion,UG,Coal
1899-12-23,Sumner,Sumner,PA,19,Coal,Explosion,UG,Coal
1900-03-06,Red Ash,Red Ash,WV,46,Coal,Explosion,UG,Coal
1900-04-30,Winter Quarters 1 & 4,Scofield,UT,200,Coal,Explosion,UG,Coal
1900-05-22,Cumnock,Cumnock,NC,23,Coal,Explosion,UG,Coal
1900-08-20,Issaqua No. 4,Issaquah,WA,5,Coal,Fire,UG,Coal
1900-11-09,Buck Mountain,Mahanoy City,PA,7,Coal,Explosion,UG,Coal
1901-02-25,Diamondville No. 1,Diamondville,WY,26,Coal,Fire,UG,Coal
1901-04-28,McAlester No. 5,Alderson,OK,6,Coal,Explosion,UG,Coal
1901-05-14,Chatham,Farmington,WV,10,Coal,Explosion,UG,Coal
1901-05-26,Richland,Dayton,TN,20,Coal,Explosion,UG,Coal
1901-06-03,Chapin,Iron Mtn.,MI,8,Iron,Dynamite explosion,UG,Metal
1901-06-09,Port Royal No. 2,Port Royal,PA,19,Coal,Explosion,UG,Coal
1901-09-15,Spring Gulch,Spring Gulch,CO,6,Coal,Explosion,UG,Coal
1901-10-24,Buttonwood,Plymouth,PA,6,Coal,Explosion,UG,Coal
1901-10-25,Diamondville,Diamondville,WY,22,Coal,Explosion,UG,Coal
1901-11-14,Pocahontas,Pocahontas,VA,17,Coal,Fires (11th & 14th),UG,Coal
1901-11-20,Smuggler-Union,Pandora,CO,31,"Gold, Silver",Bunk house fire,UG,Metal
1901-12-28,No. 1,Hartshorne,OK,6,Coal,Haulage,UG,Coal
1902-01-13,Milby & Dow,Dow,OK,10,Coal,Fire,UG,Coal
1902-01-24,Lost Creek No. 2,Oskaloosa,IA,20,Coal,Explosion,UG,Coal
1902-03-06,Catsburg,Monongahela,PA,5,Coal,Explosion,UG,Coal
1902-03-31,Nelson,Dayton,TN,16,Coal,Explosion,UG,Coal
1902-05-18,Fraterville,Coal Creek,TN,184,Coal,Explosion,UG,Coal
1902-07-09,Rolling Mill,Johnstown,PA,112,Coal,Explosion,UG,Coal
1902-07-14,Park-Utah,Park City,UT,34,"Lead, Zinc, Copper, Silver",Powder fumes,UG,Metal
1902-08-06,Bowen,Bowen,CO,13,Coal,Explosion,UG,Coal
1902-09-14,Algoma No. 7,Algoma,WV,17,Coal,Explosion,UG,Coal
1902-09-21,Stafford,Stafford,WV,6,Coal,Explosion,UG,Coal
1902-09-30,Lawson,Black Diamond,WA,11,Coal,Explosion,UG,Coal
1902-11-29,Luke Fidler,Shamokin,PA,7,Coal,Explosion,UG,Coal
1903-03-15,Cardiff,Cardiff,IL,5,Coal,Explosion,UG,Coal
1903-03-23,"Athens, No. 2",Athens,IL,6,Coal,Explosion,UG,Coal
1903-03-31,Sandoval,Sandoval,IL,8,Coal,Explosion,UG,Coal
1903-04-11,Central Slope 77,Carbon,OK,6,Coal,Explosion,UG,Coal
1903-06-18,"Blossburg, No. 3",Blossburg,NM,5,Coal,Explosion,UG,Coal
1903-06-29,"Hanna, No. 1",Hanna,WY,169,Coal,Explosion,UG,Coal
1903-11-06,Kearsarge,Virginia City,MT,9,Gold,Fire,UG,Metal
1903-11-20,Bonanza No. 20,Bonanza,AR,11,Coal,Explosion,UG,Coal
1903-11-21,Ferguson,Connellsville,PA,17,Coal,Explosion,UG,Coal
1904-01-25,Harwick,Cheswick,PA,179,Coal,Explosion,UG,Coal
1904-01-26,Stratton's Independence,Victor,CO,14,Gold,Cage accident,UG,Metal
1904-04-19,Stearns No. 5,Stearns,KY,5,Coal,Explosion,UG,Coal
1904-05-04,Locust Gap,Locust Gap,PA,5,Coal,Fire,UG,Coal
1904-05-10,Big Muddy,Herrin,IL,10,Coal,Explosion,UG,Coal
1904-10-27,Tercio,Terico,CO,19,Coal,Explosion,UG,Coal
1904-11-02,Auchincloss,Nanticoke,PA,10,Coal,Haulage,UG,Coal
1904-12-04,Horton,Horton,WV,7,Coal,Fire,UG,Coal
1904-12-07,No. 5,Burnett,WA,17,Coal,Explosion,UG,Coal
1905-01-16,No. 1,Decatur,IL,6,Coal,Fire,UG,Coal
1905-02-18,Lytle,Minersville,PA,5,Coal,Haulage,UG,Coal
1905-02-20,Virginia City,Virginia City,AL,112,Coal,Explosion,UG,Coal
1905-02-26,Grapevine,Wilcoe,WV,6,Coal,Explosion,UG,Coal
1905-03-09,Clear Spring,West Pittston,PA,7,Coal,Haulage,UG,Coal
1905-03-18,Rush Run & Red Ash,Red Ash,WV,24,Coal,Explosions,UG,Coal
1905-03-22,Oswald,Princeton,IN,9,Coal,Explosion,UG,Coal
1905-04-02,Zeigler,Zeigler,IL,49,Coal,Explosion,UG,Coal
1905-04-19,Cabin Creek,Kayford,WV,6,Coal,Explosion,UG,Coal
1905-04-25,Conyngham,Wilkes-Barre,PA,10,Coal,Haulage,UG,Coal
1905-04-26,Eleanora,Dubois,PA,13,Coal,Explosion,UG,Coal
1905-04-29,No. 19,Wilburton,OK,13,Coal,Explosion,UG,Coal
1905-05-11,Cora,Butte,MT,7,Copper,Explosion of explosives,UG,Metal
1905-07-04,Tidewater,Vivian,WV,5,Coal,Explosion,UG,Coal
1905-07-05,Fuller,Searight,PA,6,Coal,Explosion,UG,Coal
1905-10-12,Clyde,Fredericktown,PA,6,Coal,Fire,UG,Coal
1905-10-28,Hazel Kirk No. 2,Monongahela,PA,5,Coal,Explosion,UG,Coal
1905-11-04,Tidewater,Vivian,WV,7,Coal,Explosion,UG,Coal
1905-11-15,Braznell,Bentleyville,PA,7,Coal,Explosion,UG,Coal
1905-12-02,Diamondville No. 1,Diamondville,WY,18,Coal,Explosion,UG,Coal
1906-01-04,Coaldale,Coaldale,WV,22,Coal,Explosion,UG,Coal
1906-01-18,Detroit,Detroit,WV,18,Coal,Explosion,UG,Coal
1906-01-24,Poteau No. 6,Witteville,OK,14,Coal,Explosion,UG,Coal
1906-02-08,Parral,Parral,WV,23,Coal,Explosion,UG,Coal
1906-02-19,Maitland,Walsenburg,CO,14,Coal,Explosion,UG,Coal
1906-02-27,Little Cahaba,Piper,AL,12,Coal,Explosion,UG,Coal
1906-03-22,Century No. 1,Century,WV,23,Coal,Explosion,UG,Coal
1906-04-21,Cuatro,Tercio,CO,18,Coal,Explosion,UG,Coal
1906-06-06,Red Lodge,Red Lodge,MT,8,Coal,Fire,UG,Coal
1906-08-05,Susquehanna No. 7,Nanticoke,PA,6,Coal,Explosion,UG,Coal
1906-10-02,Pocahontas,Pocahontas,VA,36,Coal,Explosion,UG,Coal
1906-10-04,Dutchman,Blossburg,NM,10,Coal,Explosion,UG,Coal
1906-10-23,Rolling Mill,Johnstown,PA,7,Coal,Explosion,UG,Coal
1906-11-03,San Toy No. 1,San Toy,OH,5,Coal,Haulage,UG,Coal
1906-12-22,Breese-Trenton,Breese,IL,6,Coal,Haulage,UG,Coal
1907-01-14,Deering No. 7,Clinton,IN,7,Coal,Explosion,UG,Coal
1907-01-23,Primero,Primero,CO,24,Coal,Explosion,UG,Coal
1907-01-26,Lorentz,Penco,WV,12,Coal,Explosion,UG,Coal
1907-01-29,Stuart,Stuart,WV,84,Coal,Explosion,UG,Coal
1907-02-04,Thomas No. 25,Thomas,WV,25,Coal,Explosion,UG,Coal
1907-03-02,Holden,Taylor,PA,7,Coal,Explosion,UG,Coal
1907-03-16,Bond & Bruce,Tacoma,VA,11,Coal,Explosion,UG,Coal
1907-04-25,Morgan,Black Diamond,WA,7,Coal,Explosion,UG,Coal
1907-04-30,Whipple,Scarboro,WV,16,Coal,Explosion,UG,Coal
1907-05-18,Engleville,Engleville,CO,5,Coal,Fire,UG,Coal
1907-06-17,Johnson No. 1,Priceburg,PA,7,Coal,Explosion,UG,Coal
1907-08-16,Sonman,Sonman,PA,5,Coal,Haulage,UG,Coal
1907-11-30,Fremont Consolidated,Drytown,CA,11,Gold,Fire at foot of shaft,UG,Metal
1907-12-01,Naomi,Fayette City,PA,34,Coal,Explosion,UG,Coal
1907-12-06,Monongah No. 6 and 8,Monongah,WV,362,Coal,Explosions,UG,Coal
1907-12-07,Rolling Mill Mine,Negaunee,MI,10,Iron,Fall of skip,UG,Metal
1907-12-16,Yolande,Yolande,AL,57,Coal,Explosion,UG,Coal
1907-12-19,Darr,Van Meter,PA,239,Coal,Explosion,UG,Coal
1907-12-31,Bernal,Carthage,NM,11,Coal,Explosion,UG,Coal
1908-01-30,Backman,Hawks Nest,WV,9,Coal,Explosion,UG,Coal
1908-02-10,Moody,South Carrolton,KY,9,Coal,Explosion,UG,Coal
1908-03-28,Hanna No. 1,Hanna,WY,59,Coal,Explosion,UG,Coal
1908-05-11,Mount Lookout,Wyoming,PA,12,Coal,Explosion,UG,Coal
1908-05-12,Prospect,Wilkes-Barre,PA,5,Coal,Roof fall/bump,UG,Coal
1908-07-14,Williamstown,Williamstown,PA,6,Coal,Explosion,UG,Coal
1908-08-25,Hailey-Okla. No. 1,Haileyville,OK,29,Coal,Fire,UG,Coal
1908-08-27,Warrior Run,Wilkes-Barre,PA,6,Coal,Haulage,UG,Coal
1908-11-16,Pratt No. 3,Ensley,AL,8,Coal,Fire,UG,Coal
1908-11-20,Red Lodge,Red Lodge,MT,9,Coal,Fire,UG,Coal
1908-11-28,Rachel and Agnes,Marianna,PA,154,Coal,Explosion,UG,Coal
1908-12-29,Lick Branch,Switchback,WV,50,Coal,Explosion,UG,Coal
1909-01-10,Zeigler,Zeigler,IL,26,Coal,Explosion,UG,Coal
1909-01-10,Carbon Hill,Gayton,VA,6,Coal,Explosion,UG,Coal
1909-01-12,Lick Branch,Switchback,WV,67,Coal,Explosion,UG,Coal
1909-01-19,Stone Canyon,Chancellor,CA,6,Coal,Explosion,UG,Coal
1909-01-25,Washington No. 5,Franklin,MD,5,Coal,Haulage,UG,Coal
1909-01-25,Orenda No. 2,Boswell,PA,5,Coal,Explosion,UG,Coal
1909-02-02,Short Creek,Short Creek,AL,18,Coal,Explosion,UG,Coal
1909-02-26,Keystone,Joplin,MO,5,Lead,Fall of rock,UG,Metal
1909-03-02,No. 14,Pittston,PA,8,Coal,Explosion,UG,Coal
1909-03-20,Sunnyside,Evansville,IN,6,Coal,Explosion,UG,Coal
1909-03-31,Echo,Buery,WV,6,Coal,Explosion,UG,Coal
1909-04-08,Eureka No. 37,Wimber,PA,7,Coal,Explosion,UG,Coal
1909-04-12,Slate Quarry,Granville,NY,5,Slate,Cave-in,Surface,Stone
1909-06-22,Lackawanna No. 4,Wehrum,PA,21,Coal,Explosion,UG,Coal
1909-07-05,Toller,Tollerville,CO,9,Coal,Explosion,UG,Coal
1909-10-02,Northwestern,Roslyn,WA,10,Coal,Explosion,UG,Coal
1909-10-20,Rock Island No. 8,Hartshorne,OK,10,Coal,Explosion,UG,Coal
1909-10-30,Franklin No. 2,Johnstown,PA,13,Coal,Explosion,UG,Coal
1909-11-09,Auchincloss,Nanticoke,PA,9,Coal,Fire,UG,Coal
1909-11-13,Cherry,Cherry,IL,259,Coal,Fire,UG,Coal
1909-12-11,Baker No. 5,Clay,KY,7,Coal,Explosion,UG,Coal
1909-12-23,Mine A,Herrin,IL,8,Coal,Explosion,UG,Coal
1910-01-11,Nottingham,Plymouth,PA,7,Coal,Explosion,UG,Coal
1910-01-31,Primero,Primero,CO,75,Coal,Explosion,UG,Coal
1910-02-01,Browder,Browder,KY,34,Coal,Explosion,UG,Coal
1910-02-05,Ernest No. 2,Ernest,PA,12,Coal,Explosion,UG,Coal
1910-02-08,Barthell No. 1,Stearns,KY,6,Coal,Explosion,UG,Coal
1910-03-02,Alaska-Mexican,Treadwell,AK,37,Gold,Explosion of powder,Surface,Metal
1910-03-12,South Wilkes-Barre No. 5,South Wilkes-Barre,PA,7,Coal,Explosion,UG,Coal
1910-03-31,Great Western No. 2,Wilburton,OK,6,Coal,Explosion,UG,Coal
1910-04-12,Limestone Quarry,Nazareth,PA,11,Limestone,Quarry explosion,Surface,Stone
1910-04-19,Mulga,Mulga,AL,40,Coal,Explosion,UG,Coal
1910-04-20,Amsterdam,Amsterdam,OH,15,Coal,Explosion,UG,Coal
1910-05-04,Palos No. 3,Palos,AL,84,Coal,Explosion,UG,Coal
1910-05-31,Union Quarry,Devils Slide,UT,25,Limestone,Quarry explosion,Surface,Stone
1910-06-01,Lehigh Quarry,West Coplay,PA,8,Limestone,Quarry explosion,Surface,Stone
1910-06-06,Richard,Dover,NJ,5,Iron,Falling from man-car,UG,Metal
1910-10-07,Starkville,Starkville,CO,56,Coal,Explosion,UG,Coal
1910-11-03,Yolande No. 1,Yolande,AL,5,Coal,Explosion,UG,Coal
1910-11-06,Lawson,Black Diamond,WA,16,Coal,Explosion,UG,Coal
1910-11-08,Victor American No. 3,Delagua,CO,79,Coal,Explosion,UG,Coal
1910-11-11,Shoal Creek No. 1,Panama,IL,6,Coal,Explosion,UG,Coal
1910-11-25,Providence No. 3,Providence,KY,10,Coal,Explosion,UG,Coal
1910-11-28,Jumbo,Durant,OK,13,Asphalt,Explosion of gas,UG,NonMetal
1910-12-14,Leyden,Leyden,CO,10,Coal,Fire,UG,Coal
1910-12-14,Greeno,Tacoma,VA,8,Coal,Explosion,UG,Coal
1910-12-31,Lick Fork,Thacker,WV,10,Coal,Haulage,UG,Coal
1911-01-18,Keating,Radersburg,MT,6,Gold,Powder explosion,UG,Metal
1911-01-20,Carbon Hill,Carbon Hill,VA,7,Coal,Explosion,UG,Coal
1911-02-09,Cokedale,Trinidad,CO,17,Coal,Explosion,UG,Coal
1911-02-23,Belmont,Tonopah,NV,17,"Gold, Silver","Fire, asphyxiation",UG,Metal
1911-03-11,Norman Mine (open pit),Virginia,MN,14,Iron,Slide of bank,Surface,Metal
1911-03-18,No. 16,Mineral,KS,5,Coal,Explosion,UG,Coal
1911-03-22,Hazel,Canonsburg,PA,9,Coal,Haulage,UG,Coal
1911-04-06,Price-Pancoast,Troop,PA,73,Coal,Fire,UG,Coal
1911-04-07,Banner,Littleton,AL,128,Coal,Explosion,UG,Coal
1911-04-23,Ott No. 20,Elk Garden,WV,23,Coal,Explosion,UG,Coal
1911-05-04,Hartford-Cambria No. 2,Negaunee,MI,7,Iron,Fire,UG,Metal
1911-05-09,Boston,Larksville,PA,5,Coal,Fire,UG,Coal
1911-05-26,Cameron,Shamokin,PA,5,Coal,Explosion,UG,Coal
1911-07-14,Sykesville,Syskesville,PA,21,Coal,Explosion,UG,Coal
1911-07-31,Standard,Welch,WV,6,Coal,Explosion,UG,Coal
1911-08-22,Giroux,Ely,NV,7,Copper,Fire,UG,Metal
1911-09-02,Butte & Superior,Butte,MT,6,Zinc,Cage accident,UG,NonMetal
1911-10-02,Drifton,Freeland,PA,5,Coal,Suffocation,UG,Coal
1911-10-18,Wharton,Hibernia,NJ,12,Iron,Shaft flooded,UG ,Metal
1911-10-22,O'Gara No. 9,Harrisburg,IL,8,Coal,Explosion,UG,Coal
1911-11-09,Adrian,Punxsutawney,PA,8,Coal,Explosion,UG,Coal
1911-11-18,Bottom Creek,Vivian,WV,18,Coal,Explosion,UG,Coal
1911-12-09,Cross Mountain,Briceville,TN,84,Coal,Explosion,UG,Coal
1912-01-09,Parrish,Plymouth,PA,6,Coal,Explosion,UG,Coal
1912-01-16,Carbon Hill,Carbon Hill,VA,5,Coal,Explosion,UG,Coal
1912-01-19,Central,Central City,KY,5,Coal,Explosion,UG,Coal
1912-01-20,Kemmerer No. 4,Kemmerer,WY,6,Coal,Explosion,UG,Coal
1912-02-22,Western No. 5,Lehigh,OK,9,Coal,Fire,UG,Coal
1912-03-20,San Bois No. 2,McCurtain,OK,73,Coal,Explosion,UG,Coal
1912-03-26,Jed,Jed,WV,81,Coal,Explosion,UG,Coal
1912-04-20,Coil,Madisonville,KY,5,Coal,Explosion,UG,Coal
1912-05-12,Norrie,Ironwood,MI,7,Iron,Cave-in,UG,Metal
1912-06-17,Hastings,Hastings,CO,12,Coal,Explosion,UG,Coal
1912-07-06,Eureka Pit,Ely,NV,10,Copper,Dynamite explosion,UG,Metal
1912-07-10,Panama,Moundsville,WV,8,Coal,Explosion,UG,Coal
1912-07-15,Carbon Hill,Gayton,VA,8,Coal,Explosion,UG,Coal
1912-07-23,Superba and Lemont,Evans Station,PA,18,Coal,Inundation,UG,Coal
1912-08-12,Abernant,Abernant,AL,18,Coal,Explosion,UG,Coal
1912-12-09,Great Northern Development Co.,Cordova,AK,9,Gold,Snowslide,Surface,Metal
1913-02-19,Seagraves,Eldorado,IL,5,Coal,Explosion,UG,Coal
1913-04-16,Miami,Miami,AZ,5,Copper,Air blast due to cave-in,UG,Metal
1913-04-22,Leonard,Butte,MT,5,Copper,Hoisting accident,UG,Metal
1913-04-22,Cincinnati,Finleyville,PA,98,Coal,Explosion,UG,Coal
1913-05-05,Taylor Mine,Beaver Dam,KY,5,Coal,Suffocation,UG,Coal
1913-05-16,Noble,Belle Valley,OH,15,Coal,Explosion,UG,Coal
1913-08-01,East Brookside,Tower City,PA,20,Coal,Explosion,UG,Coal
1913-08-12,Coronado Incline,Clifton,AZ,9,Copper,Breaking drawbar,UG,Metal
1913-10-21,Stag Canon No. 2,Dawson,NM,263,Coal,Explosion,UG,Coal
1913-11-18,Acton No. 2,Acton,AL,24,Coal,Explosion,UG,Coal
1913-12-16,Vulcan,New Castle,CO,37,Coal,Explosion,UG,Coal
1914-01-10,Rock Castle,Rock Castle,AL,12,Coal,Explosion,UG,Coal
1914-01-14,No. 7,Mulberry,KS,6,Coal,Haulage,UG,Coal
1914-01-21,Boston,Bingham,UT,5,Copper,Fire,UG,Metal
1914-04-27,Eccles No. 5 & No. 6,Eccles,WV,181,Coal,Explosion,UG,Coal
1914-04-29,No. 2,Cumberland,WY,5,Coal,Haulage,UG,Coal
1914-05-28,Maryd,Maryd,PA,6,Coal,Haulage,UG,Coal
1914-06-29,No. 1,Cinderella,WV,5,Coal,Fire,UG,Coal
1914-07-13,Balkan,Palatka,MI,7,Iron,Rush of water in raise,Surface,Metal
1914-08-03,Copper Flat (Steam Shovel Pit),McGill,NV,5,Copper,Premature blast,Surface,Metal
1914-09-03,No. 1,Adamson,OK,13,Coal,Roof fall/bump,UG,Coal
1914-09-15,Lehigh No. 4,Lansford,PA,7,Coal,Explosion,UG,Coal
1914-09-16,Centennial-Eureka,Eureka,UT,11,Gold,Cave-in,UG,Metal
1914-10-04,Mulga,Mulga,AL,16,Coal,Explosion,UG,Coal
1914-10-27,North or No. 1,Royalton,IL,52,Coal,Explosion,UG,Coal
1914-11-09,Sibley No. 9 Shaft,Ely,MN,5,Iron,Shaft cave-in,UG,Metal
1914-12-09,Tripp,Scranton,PA,13,Coal,Haulage,UG,Coal
1915-02-06,Carlisle,Carlisle,WV,21,Coal,Explosion,UG,Coal
1915-02-17,Prospect,Wilkes-Barre,PA,13,Coal,Explosion,UG,Coal
1915-02-18,New Home No. 2,Rich Hill,MO,5,Coal,Explosion,UG,Coal
1915-03-02,Layland No. 3,Layland,WV,115,Coal,Explosion,UG,Coal
1915-04-04,Shoal Creek,Panama,IL,11,Coal,Explosion,UG,Coal
1915-05-23,Smokeless Valley No. 1,Johnstown,PA,9,Coal,Explosion,UG,Coal
1915-07-26,United Coal No. 1,Christopher,IL,9,Coal,Explosion,UG,Coal
1915-07-29,Patterson No. 2,Elizabeth,PA,9,Coal,Haulage,UG,Coal
1915-08-30,Orenda,Boswell,PA,19,Coal,Explosion,UG,Coal
1915-10-18,Granite Mountain Shaft,Butte,MT,16,Copper,Dynamite explosion,UG,Metal
1915-11-16,Northwestern,Ravensdale,WA,31,Coal,Explosion,UG,Coal
1915-11-30,Boomer No. 2,Boomer,WV,23,Coal,Explosion,UG,Coal
1916-02-08,Lance,Plymouth,PA,7,Coal,Explosion,UG,Coal
1916-02-11,Ernest No. 2,Ernest,PA,27,Coal,Explosion,UG,Coal
1916-02-14,Pennsylvania,Butte,MT,21,Copper,Fire,UG,Metal
1916-02-29,Davis No. 42,Kempton,MD,16,Coal,Explosion,UG,Coal
1916-03-09,Hollenback,Wilkes-Barre,PA,6,Coal,Explosion,UG,Coal
1916-03-28,King,Kimball,WV,10,Coal,Explosion,UG,Coal
1916-03-30,Robindale,Seward,PA,8,Coal,Explosion,UG,Coal
1916-08-07,Woodward,Wilkes-Barre,PA,6,Coal,Explosion,UG,Coal
1916-10-18,Jamison No. 7,Barrackville,WV,11,Coal,Explosion,UG,Coal
1916-10-21,Roden,Marvel,AL,18,Coal,Explosion,UG,Coal
1916-11-04,Bessie,Palos,AL,30,Coal,Explosion,UG,Coal
1916-11-18,Ocean Mine,Greensbury,PA,8,Coal,Roof fall,UG,Coal
1916-12-13,Fidelity No. 9,Stone City,KS,20,Coal,Explosion,UG,Coal
1917-02-25,North Star,Hailey,ID,16,"Gold, Lead, Silver, Zinc",Snowslide,Surface,Metal
1917-03-13,Henderson No. 1,Hendersonville,PA,14,Coal,Explosion,UG,Coal
1917-04-17,Lynden,Mason,WV,5,Coal,Explosives,UG,Coal
1917-04-26,Hastings,Hastings,CO,121,Coal,Explosion,UG,Coal
1917-04-27,Mountain King,Mariposa Co.,CA,7,Gold,Powder Fumes/Suffocation,UG,Metal
1917-06-01,Rend No. 2,Herrin,IL,9,Coal,Explosion,UG,Coal
1917-06-07,Granite Mountain,Butte,MT,163,Copper,Fire,UG,Metal
1917-06-12,Banner,Banner,AL,6,Coal,Explosion,UG,Coal
1917-07-16,Three Forks Quarry,Trident,MT,8,Gypsum,Powder explosion,Surface,Stone
1917-08-03,West Kentucky No. 7,Clay,KY,62,Coal,Explosion,UG,Coal
1917-09-16,Orient,Orient,IL,5,Coal,Haulage,UG,Coal
1917-11-29,Old Ben No. 11,Christopher,IL,18,Coal,Explosion,UG,Coal
1917-12-15,Yukon No. 1,Bluefield,WV,18,Coal,Explosion,UG,Coal
1917-12-17,Wilkeson,Wilkeson,WA,6,Coal,Inundation,UG,Coal
1917-12-20,No. 3,Catoosa,TN,11,Coal,Explosion,UG,Coal
1918-02-21,Amasa-Porter,Crystal Falls,MI,17,Iron,Cave-in by water,UG,Metal
1918-05-20,Villa,Villa,WV,13,Coal,Fire,UG,Coal
1918-06-27,Silver (open pit),Virginia,MN,18,Iron,Powder explosion,Surface,Metal
1918-08-07,Hamar,Harmarville,PA,8,Coal,Explosion,UG,Coal
1918-08-28,Burnett,Burnett,WA,12,Coal,Explosion,UG,Coal
1918-09-28,North,Royalton,IL,21,Coal,Explosion,UG,Coal
1919-03-31,Empire,Aguilar,CO,13,Coal,Explosion,UG,Coal
1919-04-29,Majestic,Majestic,AL,22,Coal,Explosion,UG,Coal
1919-06-05,Baltimore Tunnel #2,Wilkes-Barre,PA,92,Coal,Explosives,UG,Coal
1919-06-30,Alderson No. 5,Alderson,OK,15,Coal,Explosion,UG,Coal
1919-07-08,Lansford Colliery,Lansford,PA,8,Coal,Explosion,UG,Coal
1919-07-18,Carswell,Kimball,WV,6,Coal,Explosion,UG,Coal
1919-07-25,Hecla,Burke,ID,5,Lead,Cage accident,UG,Metal
1919-08-06,Weirwood,Weirwood,WV,7,Coal,Explosion,UG,Coal
1919-08-18,Oakdale,LaVeta,CO,18,Coal,Explosion,UG,Coal
1919-10-29,No. 2,Amsterdam,OH,20,Coal,Fire,UG,Coal
1919-12-03,No. 3,Jacksonville,IN,6,Coal,Explosion,UG,Coal
1920-04-13,Stag Canon Nos. 1 & 6,Dawson,NM,5,Coal,Explosion,UG,Coal
1920-04-14,Jefferson Island,Delcambre,LA,6,Salt,Gas explosion,UG,NonMetal
1920-04-18,Lehigh Quarry,Ormrod,PA,6,Limestone,Explosives,Surface,NonMetal
1920-05-03,Submarine,Clinton,IN,5,Coal,Explosion,UG,Coal
1920-05-22,Mallory No. 3,Mallory,WV,5,Coal,Roof fall/bump,UG,Coal
1920-06-02,Ontario,Cokeburg,PA,6,Coal,Explosion,UG,Coal
1920-07-19,Renton No. 3,Renton,PA,9,Coal,Explosion,UG,Coal
