Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1936-08-01,Kathleen,Dowell,IL,9,Coal,Fire,UG,Coal
1936-08-13,Mountain City Copper Co.,"Mountain City, Elko County",NV,6,Copper,Suffocation,UG,Metal
1936-08-24,Clear Spring,West Pittston,PA,5,Coal,Explosion,UG,Coal
1936-09-02,Macbeth,Macbeth,WV,10,Coal,Explosion,UG,Coal
1936-10-05,Morning Mine,Mullan,ID,10,Lead,Cage fall (shaft),UG,Metal
1936-11-19,Bates,Bates,AR,5,Coal,Explosion,UG,Coal
1936-11-30,Funkhouser Quarry,Delta,PA,9,Slate,Explosives,Surface,Stone
1937-02-19,Walker,Walkermine,CA,6,Copper,Explosives,UG,Metal
1937-03-11,Macbeth,Macbeth,WV,18,Coal,Explosion,UG,Coal
1937-03-28,Kramer,Dubois,PA,9,Coal,Explosion,UG,Coal
1937-06-21,Rupert Mine,Keystone,OH,6,Coal,Explosives,UG,Coal
1937-07-15,Baker,Sullivan,IN,20,Coal,Explosion,UG,Coal
1937-10-14,Mulga,Mulga,AL,34,Coal,Explosion,UG,Coal
1937-10-25,Jonesville,Jonesville,AK,14,Coal,Explosion,UG,Coal
1938-01-12,Harwick,Harwick,PA,10,Coal,Explosion,UG,Coal
1938-02-11,Vail (Star Valley),Afton,WY,5,Coal,Explosion,UG,Coal
1938-04-21,Keen Mountain,Hanger,VA,45,Coal,Explosion,UG,Coal
1938-04-27,No. 1 Slope,Pottsville,PA,8,Coal,Explosion,UG,Coal
1938-06-02,Butler Slope,Pittston,PA,10,Coal,Explosion,UG,Coal
1938-07-01,Praco No. 7,Praco,AL,6,Coal,Roof Fall/Bump,UG,Coal
1938-08-31,Ashville Quarry,Ashville,NC,5,Granite,Dynamite explosion,Surface,Stone
1939-01-31,Southern,Treece,KS,5,Zinc,Roof fall,UG,Nonmetal
1939-07-14,Duvin,Providence,KY,28,Coal,Explosion,UG,Coal
1940-01-10,Pond Creek No. 1,Bartley,WV,91,Coal,Explosion,UG,Coal
1940-03-16,Willow Grove No. 10,St. Clairsville,OH,72,Coal,Explosion,UG,Coal
1940-07-15,Sonman,Portage,PA,63,Coal,Explosion,UG,Coal
1940-08-27,No. 2,Bates,AR,10,Coal,Explosion,UG,Coal
1940-11-29,Nelms,Cadiz,OH,31,Coal,Explosion,UG,Coal
1940-12-17,No. 4,Raleigh,WV,9,Coal,Explosion,UG,Coal
1941-01-22,Carswell,Kimball,WV,6,Coal,Explosion,UG,Coal
1941-02-14,Fidelity,DuQuoin,IL,7,Coal,Explosives,UG,Coal
1941-05-22,Panhandle No. 2,Bicknell,IN,14,Coal,Explosion,UG,Coal
1941-06-04,Docena,Adamsville,AL,5,Coal,Explosion,UG,Coal
1941-06-30,Kent No. 2,McIntyre,PA,7,Coal,Explosion,UG,Coal
1941-07-10,Acmar No. 6,Acmar,AL,11,Coal,Explosion,UG,Coal
1941-10-27,Daniel Boone,Daniel Boone,KY,15,Coal,Explosion,UG,Coal
1941-12-28,No. 47,Harco,IL,8,Coal,Explosion,UG,Coal
1942-01-09,Pride,Silverton,CO,8,"Copper, Zinc, Lead, Gold, Silver",Fumes from surface fire at portal,UG,Metal
1942-01-27,Wadge,Mount Harris,CO,34,Coal,Explosion,UG,Coal
1942-03-26,Sandts Eddy Quarry,Allentown,PA,31,Limestone,Quarry blast,Surface,Stone
1942-05-11,Peerless No. 2,Excelsior,AR,6,Coal,Explosion,UG,Coal
1942-05-12,Christopher No. 3,Osage,WV,56,Coal,Explosion,UG,Coal
1942-05-18,Hitchman,Benwood,WV,5,Coal,Explosion,UG,Coal
1942-07-09,Pursglove No. 2,Pursglove,WV,20,Coal,Explosion,UG,Coal
1942-11-30,West KY No. 10,Wheatcroft,KY,6,Coal,Explosion,UG,Coal
1942-12-15,Laing No. 1,Laing,WV,5,Coal,Haulage,UG,Coal
1943-01-05,Boyd Mine,Ducktown,TN,9,Copper,Explosion,UG,Metal
1943-01-08,No. 15,Pursglove,WV,13,Coal,Fire,UG,Coal
1943-02-10,C. F. & H.,Shullsburg,WI,8,"Lead, Zinc",Cave-ins (2),UG,Metal
1943-02-27,Smith,Washoe,MT,74,Coal,Explosion,UG,Coal
1943-03-15,Atkinson Quarry,Excursion Inlet,AK,5,Rock,Blasting,Surface,Stone
1943-05-05,NuRex,LaFollette,TN,10,Coal,Explosion,UG,Coal
1943-05-11,Praco No. 10,Praco,AL,12,Coal,Explosion,UG,Coal
1943-08-28,"Sayreton, No. 2",Sayreton,AL,28,Coal,Explosion,UG,Coal
1943-09-16,3 Point,Three Point,KY,12,Coal,Explosion,UG,Coal
1943-09-24,Primrose Colliery,Minersville,PA,14,Coal,Explosion,UG,Coal
1943-11-06,Nellis No. 3,Madison,WV,11,Coal,Explosion,UG,Coal
1944-03-24,Katherine No. 4,Lumberport,WV,16,Coal,Explosion,UG,Coal
1944-06-07,Emerald,Clarksville,PA,6,Coal,Fire,UG,Coal
1944-07-05,Powhatan,Powhatan Point,OH,66,Coal,Fire,UG,Coal
1944-07-28,Brilliant No. 2,Brilliant,NM,6,Coal,Explosion,UG,Coal
1945-01-17,Bond Valley,Haileyville,OK,9,Coal,Explosion,UG,Coal
1945-02-20,St. Anthony,Tiger,AZ,5,"Lead, Zinc",Bunkhouse fire,Surface,Metal
1945-03-12,Crucible,Crucible,PA,5,Coal,Roof/bump,UG,Coal
1945-03-14,Kennilworth,Kennilworth,UT,7,Coal,Explosion,UG,Coal
1945-05-09,No. 1,Sunnyside,UT,23,Coal,Explosion,UG,Coal
1945-12-26,Belva No. 1,Fourmile,KY,25,Coal,Explosion,UG,Coal
1946-01-15,Havaco No. 9,Havaco,WV,15,Coal,Explosion,UG,Coal
1946-04-17,Great Valley,McCoy,VA,12,Coal,Explosion,UG,Coal
1947-01-15,Nottingham,Plymouth,PA,15,Coal,Explosion,UG,Coal
1947-03-25,No. 5,Centralia,IL,111,Coal,Explosion,UG,Coal
1947-04-09,Schooley,Exeter,PA,10,Coal,Explosion,UG,Coal
1947-04-30,Spring Hill,Terre Haute,IN,8,Coal,Explosion,UG,Coal
1947-07-24,Old Ben No. 8,W. Frankfort,IL,27,Coal,Explosion,UG,Coal
1947-12-11,Franklin,Wilkes-Barre,PA,8,Coal,Explosion,UG,Coal
1948-02-08,Sun Excelsior,Excelsior,AR,8,Coal,Explosion,UG,Coal
1948-05-20,No. 2,Dante,VA,6,Coal,Roof/bump,UG,Coal
1948-07-27,King,Princeton,IN,13,Coal,Explosion,UG,Coal
1948-07-30,Edgewater,Birmingham,AL,11,Coal,Explosion,UG,Coal
1948-08-06,No. 11,Capels,WV,6,Coal,Roof fall/bump,UG,Coal
1948-11-04,Milt No. 1,Kitzmiller,MD,5,Coal,Fire,UG,Coal
1950-07-16,"Lark, U.S. Smelting",Lark,UT,5,"Lead, Zinc",Fire,UG,Metal
1951-01-18,Burning Springs,Kermit,WV,11,Coal,Explosion,UG,Coal
1951-03-29,Buttonwood,Wilkes-Barre,PA,5,Coal,Explosion,UG,Coal
1951-10-14,Bunker,Cassville,WV,10,Coal,Explosion,UG,Coal
1951-10-31,United Gas No. 1,United,WV,12,Coal,Explosion,UG,Coal
1951-12-21,Orient No. 2,West Frankfort,IL,119,Coal,Explosion,UG,Coal
1952-02-02,Carpentertown,Carpentertown,PA,6,Coal,Explosion,UG,Coal
1952-03-27,Holmes Slope,Minersville,PA,5,Coal,Inundation,UG,Coal
1952-07-24,Arizona Precast Concrete,Apache Junction,AZ,5,Rock & Stone,"Collapse load, trestle",Surface,Stone
1952-10-30,"Herron, Alpena Enterprises",Herron,MI,5,Gold Prospect,Shaft explosion,UG,Metal
1953-03-30,O'Brien,Lovilia,IA,5,Coal,Explosion,UG,Coal
1954-03-31,Santa Rita Open Pit,Santa Rita,NM,5,Copper,Premature blast,Surface,Metal
1954-11-13,Jamison No. 9,Farmington,WV,16,Coal,Explosion,UG,Coal
